City,Zip_Codes
Houston,77087
Houston,77088
Houston,77089
Houston,77090
Houston,77091
Houston,77092
Houston,77093
Houston,77094
Houston,77095
Houston,77096
Houston,77098
Houston,77099
Houston,77201
Houston,77202
Houston,77203
Houston,77204
Houston,77205
Houston,77206
Houston,77207
Houston,77208
Houston,77209
Houston,77210
Houston,77212
Houston,77213
Houston,77215
Houston,77216
Houston,77217
Houston,77218
Houston,77219
Houston,77220
Houston,77221
Houston,77222
Houston,77223
Houston,77224
Houston,77225
Houston,77226
Houston,77227
Houston,77228
Houston,77229
Houston,77230
Houston,77231
Houston,77233
Houston,77234
Houston,77235
Houston,77236
Houston,77237
Houston,77238
Houston,77240
Houston,77241
Houston,77242
Houston,77243
Houston,77244
Houston,77245
Houston,77248
Houston,77249
Houston,77251
Houston,77252
Houston,77253
Houston,77254
Houston,77255
Houston,77256
Houston,77257
Houston,77258
Houston,77259
Houston,77261
Houston,77262
Houston,77263
Houston,77265
Houston,77266
Houston,77267
Houston,77268
Houston,77269
Houston,77270
Houston,77271
Houston,77272
Houston,77273
Houston,77274
Houston,77275
Houston,77277
Houston,77279
Houston,77280
Houston,77282
Houston,77284
Houston,77287
Houston,77288
Houston,77289
Houston,77290
Houston,77291
Houston,77292
Houston,77293
Houston,77297
Houston,77299
